feature,mean_abs_shap
V4,0.5431619061315379
V14,0.3690197882773144
anomaly_score,0.28501073256996473
V8,0.2497977015007161
V12,0.23045740999444167
V19,0.177785782455146
V22,0.17258197741124393
V1,0.1723952552202826
V18,0.1626296143018737
V17,0.14654153480627327
V3,0.1459764666890767
V10,0.1412257955283829
V11,0.13599047903376718
V20,0.13005019605362714
V7,0.12462727377079451
Amount,0.12320088735292034
V9,0.11960985405737781
V2,0.10948882785668365
V13,0.1048959690648708
V15,0.10484929021494252
Time,0.10323366541220101
V24,0.09957104480303423
V28,0.09447521495193718
V25,0.08397050661534727
V5,0.08248170993130256
V16,0.08071919045209036
V27,0.08042790348841639
V6,0.07990595587246
V21,0.07502234586445929
V26,0.06937848763244193
V23,0.0684516033757967
