feature,mean_abs_shap_fraud
V14,4.583366
V10,1.0373669
V4,0.975861
V12,0.90516156
V11,0.46846136
V3,0.40438616
V16,0.31276476
anomaly_score,0.30753672
V8,0.27696535
V7,0.25075725
V28,0.1949245
V20,0.19071986
V26,0.17434502
V27,0.1470312
Time,0.13541141
V6,0.12927458
V15,0.12624043
V1,0.1233931
V25,0.12198764
Amount,0.10986505
V18,0.09980872
V19,0.09091015
V22,0.08410511
V13,0.08270888
V2,0.07469587
V9,0.07332446
V23,0.073275015
V17,0.06236116
V21,0.052238982
V24,0.04752354
V5,0.041490227
