feature,mean_abs_shap_fraud
V14,4.549065
V4,1.0868226
V12,1.051201
V10,0.65449154
V3,0.5842219
V16,0.27209052
anomaly_score,0.24797921
V11,0.21398407
V8,0.18549396
V7,0.18073192
Amount,0.1533882
V28,0.14535157
V27,0.13931337
V9,0.13657835
Time,0.12640299
V2,0.12583028
V25,0.095861524
V15,0.094792075
V21,0.092865296
V26,0.09006361
V18,0.08858088
V5,0.08337827
V24,0.082230635
V13,0.0800853
V1,0.07492758
V23,0.07424363
V17,0.07372363
V22,0.07090322
V6,0.07043412
V19,0.0697892
V20,0.06842625
