feature,mean_abs_shap
V14,1.8128139
anomaly_score,1.1324375
V4,1.108693
V12,0.5727236
V3,0.44157594
V10,0.37838927
V8,0.34278712
V11,0.271962
V1,0.24546127
V18,0.22306755
Amount,0.18846785
Time,0.17570968
V19,0.17365341
V17,0.17150442
V7,0.1713732
V20,0.16433059
V27,0.15469107
V15,0.14791934
V26,0.14643979
V16,0.13608325
V25,0.13005064
V9,0.124213986
V6,0.120314315
V13,0.11249067
V28,0.11213712
V22,0.10853845
V21,0.09516604
V2,0.08762595
V24,0.07744439
V23,0.07650201
V5,0.058301218
