feature,mean_abs_shap
V14,1.7742165
V4,1.0981472
anomaly_score,1.0665877
V12,0.5823637
V3,0.45352626
V10,0.40732825
V8,0.3585397
V11,0.28080088
V1,0.25117767
V18,0.23096488
Amount,0.19127706
V7,0.17844233
Time,0.17667228
V19,0.17583011
V20,0.16761889
V17,0.16631545
V27,0.1625499
V26,0.1452975
V25,0.14100772
V15,0.14025506
V16,0.12858507
V9,0.12313955
V6,0.11944191
V13,0.113376305
V28,0.11190562
V22,0.10927117
V21,0.09431201
V2,0.09095244
V24,0.07901729
V23,0.070872426
V5,0.060076267
