feature,mean_abs_shap
V14,1.6161028
V4,1.0395478
anomaly_score,0.87791294
V12,0.69512784
V3,0.38345137
V10,0.32328486
Amount,0.2888037
V8,0.25082493
V11,0.24021359
V28,0.23800008
